ID,Nombre,Edad,Género,Ciudad,Comentario,Categoría del problema,Nivel de urgencia,Fecha del reporte,Acceso a internet,Atención previa del gobierno,Zona rural,Nivel_gravedad,Categoria,Frecuencia_similar,Personas_afectadas,Fecha
1,Jorge,23.0,Otro,Manizales,las calles están muy oscuras y peligrosas.,Salud,Urgente,2023-08-11,0,1,0,GRAVE,Salud,1,1,2023-08-11
2,Camilo,40.0,Otro,Santa Marta,no tenemos centros culturales ni bibliotecas.,Medio Ambiente,No urgente,2023-04-12,1,1,1,LEVE,Medio Ambiente,1,1,2023-04-12
3,Pedro,35.0,Otro,Medellín,las basuras no se recogen a tiempo.,Medio Ambiente,No urgente,2023-06-09,1,1,0,LEVE,Medio Ambiente,1,1,2023-06-09
4,Ana,,F,Bogotá,la contaminación del río está aumentando.,Seguridad,No urgente,2023-06-04,0,1,1,LEVE,Seguridad,1,1,2023-06-04
5,Jorge,62.0,M,Manizales,no hay suficientes escuelas públicas.,Seguridad,Urgente,2024-07-10,1,0,1,GRAVE,Seguridad,1,1,2024-07-10
6,María,29.0,M,Cartagena,hay problemas con la recolección de basura.,Seguridad,No urgente,2023-09-18,0,1,0,LEVE,Seguridad,1,1,2023-09-18
7,Ana,,M,Medellín,la contaminación del río está aumentando.,Salud,No urgente,2023-07-20,0,1,0,LEVE,Salud,1,1,2023-07-20
8,Jorge,38.0,F,Bogotá,no hay suficientes escuelas públicas.,Educación,Urgente,2023-04-23,0,1,0,GRAVE,Educación,1,1,2023-04-23
9,Carlos,57.0,M,Medellín,necesitamos más acceso a internet en la zona.,Medio Ambiente,No urgente,2023-09-01,1,1,1,LEVE,Medio Ambiente,1,1,2023-09-01
10,María,76.0,F,Cali,faltan médicos en el centro de salud.,Salud,No urgente,2024-09-21,0,1,1,LEVE,Salud,1,1,2024-09-21
11,Pedro,46.0,Otro,Bogotá,falta agua potable en varias casas.,Educación,Urgente,2024-04-02,0,1,0,GRAVE,Educación,1,1,2024-04-02
12,Ana,67.0,M,Manizales,la contaminación del río está aumentando.,Seguridad,Urgente,2023-03-14,1,1,1,GRAVE,Seguridad,1,1,2023-03-14
